291,LKQ,LKQ Corporation,,,,,,
292,LMT,Lockheed Martin,,,,,,
293,L,Loews Corporation,,,,,,
294,LOW,Lowe's,,,,,,
295,LULU,Lululemon Athletica,,,,,,
296,LYB,LyondellBasell,,,,,,
297,MTB,M&T Bank,,,,,,
298,MRO,Marathon Oil,,,,,,
299,MPC,Marathon Petroleum,,,,,,
300,MKTX,MarketAxess,,,,,,
301,MAR,Marriott International,,,,,,
302,MMC,Marsh McLennan,,,,,,
303,MLM,Martin Marietta Materials,,,,,,
304,MAS,Masco,,,,,,
305,MA,Mastercard,,,,,,
306,MTCH,Match Group,,,,,,
307,MKC,McCormick & Company,,,,,,
308,MCD,McDonald's,,,,,,
309,MCK,McKesson,,,,,,
310,MDT,Medtronic,,,,,,
311,MRK,Merck & Co.,,,,,,
312,META,Meta Platforms,,,,,,
313,MET,MetLife,,,,,,
314,MTD,Mettler Toledo,,,,,,
315,MGM,MGM Resorts,,,,,,
316,MCHP,Microchip Technology,,,,,,
317,MU,Micron Technology,,,,,,
318,MSFT,Microsoft,,,,,,
319,MAA,Mid-America Apartment Communities,,,,,,
320,MRNA,Moderna,,,,,,
321,MHK,Mohawk Industries,,,,,,
322,MOH,Molina Healthcare,,,,,,
323,TAP,Molson Coors Beverage Company,,,,,,
324,MDLZ,Mondelez International,,,,,,
325,MPWR,Monolithic Power Systems,,,,,,
326,MNST,Monster Beverage,,,,,,
327,MCO,Moody's Corporation,,,,,,
328,MS,Morgan Stanley,,,,,,
329,MOS,Mosaic Company (The),,,,,,
330,MSI,Motorola Solutions,,,,,,
331,MSCI,MSCI,,,,,,
332,NDAQ,"Nasdaq, Inc.",,,,,,
333,NTAP,NetApp,,,,,,
334,NFLX,Netflix,,,,,,
335,NEM,Newmont,,,,,,
336,NWSA,News Corp (Class A),,,,,,
337,NWS,News Corp (Class B),,,,,,
338,NEE,NextEra Energy,,,,,,
339,NKE,"Nike, Inc.",,,,,,
340,NI,NiSource,,,,,,
341,NDSN,Nordson Corporation,,,,,,
342,NSC,Norfolk Southern Railway,,,,,,
343,NTRS,Northern Trust,,,,,,
344,NOC,Northrop Grumman,,,,,,
345,NCLH,Norwegian Cruise Line Holdings,,,,,,
346,NRG,NRG Energy,,,,,,
347,NUE,Nucor,,,,,,
348,NVDA,Nvidia,,,,,,
349,NVR,"NVR, Inc.",,,,,,
350,NXPI,NXP Semiconductors,,,,,,
351,ORLY,O'Reilly Auto Parts,,,,,,
352,OXY,Occidental Petroleum,,,,,,
353,ODFL,Old Dominion,,,,,,
354,OMC,Omnicom Group,,,,,,
355,ON,ON Semiconductor,,,,,,
356,OKE,ONEOK,,,,,,
357,ORCL,Oracle Corporation,,,,,,
358,OTIS,Otis Worldwide,,,,,,
359,PCAR,Paccar,,,,,,
360,PKG,Packaging Corporation of America,,,,,,
361,PANW,Palo Alto Networks,,,,,,
362,PARA,Paramount Global,,,,,,
363,PH,Parker Hannifin,,,,,,
364,PAYX,Paychex,,,,,,
365,PAYC,Paycom,,,,,,
366,PYPL,PayPal,,,,,,
367,PNR,Pentair,,,,,,
368,PEP,PepsiCo,,,,,,
369,PFE,Pfizer,,,,,,
370,PCG,PG&E Corporation,,,,,,
371,PM,Philip Morris International,,,,,,
372,PSX,Phillips 66,,,,,,
373,PNW,Pinnacle West,,,,,,
374,PXD,Pioneer Natural Resources,,,,,,
375,PNC,PNC Financial Services,,,,,,
376,POOL,Pool Corporation,,,,,,
377,PPG,PPG Industries,,,,,,
378,PPL,PPL Corporation,,,,,,
379,PFG,Principal Financial Group,,,,,,
380,PG,Procter & Gamble,,,,,,
381,PGR,Progressive Corporation,,,,,,
382,PLD,Prologis,,,,,,
383,PRU,Prudential Financial,,,,,,
384,PEG,Public Service Enterprise Group,,,,,,
385,PTC,PTC,,,,,,
386,PSA,Public Storage,,,,,,
387,PHM,PulteGroup,,,,,,
388,QRVO,Qorvo,,,,,,
389,PWR,Quanta Services,,,,,,
390,QCOM,Qualcomm,,,,,,
391,DGX,Quest Diagnostics,,,,,,
392,RL,Ralph Lauren Corporation,,,,,,
393,RJF,Raymond James,,,,,,
394,RTX,RTX Corporation,,,,,,
395,O,Realty Income,,,,,,
396,REG,Regency Centers,,,,,,
397,REGN,Regeneron,,,,,,
398,RF,Regions Financial Corporation,,,,,,
399,RSG,Republic Services,,,,,,
400,RMD,ResMed,,,,,,
401,RVTY,Revvity (Previously PerkinElmer),,,,,,
402,RHI,Robert Half,,,,,,
403,ROK,Rockwell Automation,,,,,,
404,ROL,"Rollins, Inc.",,,,,,
405,ROP,Roper Technologies,,,,,,
406,ROST,Ross Stores,,,,,,
407,RCL,Royal Caribbean Group,,,,,,
408,SPGI,S&P Global,,,,,,
409,CRM,Salesforce,,,,,,
410,SBAC,SBA Communications,,,,,,
411,SLB,Schlumberger,,,,,,
412,STX,Seagate Technology,,,,,,
413,SRE,Sempra Energy,,,,,,
414,NOW,ServiceNow,,,,,,
415,SHW,Sherwin-Williams,,,,,,
416,SPG,Simon Property Group,,,,,,
417,SWKS,Skyworks Solutions,,,,,,
418,SJM,J.M. Smucker Company (The),,,,,,
419,SNA,Snap-on,,,,,,
420,SO,Southern Company,,,,,,
421,LUV,Southwest Airlines,,,,,,
422,SWK,Stanley Black & Decker,,,,,,
423,SBUX,Starbucks,,,,,,
424,STT,State Street Corporation,,,,,,
425,STLD,Steel Dynamics,,,,,,
426,STE,Steris,,,,,,
427,SYK,Stryker Corporation,,,,,,
428,SYF,Synchrony Financial,,,,,,
429,SNPS,Synopsys,,,,,,
430,SYY,Sysco,,,,,,
431,TMUS,T-Mobile US,,,,,,
432,TROW,T. Rowe Price,,,,,,
433,TTWO,Take-Two Interactive,,,,,,
434,TPR,"Tapestry, Inc.",,,,,,
435,TRGP,Targa Resources,,,,,,
436,TGT,Target Corporation,,,,,,
437,TEL,TE Connectivity,,,,,,
438,TDY,Teledyne Technologies,,,,,,
439,TFX,Teleflex,,,,,,
440,TER,Teradyne,,,,,,
441,TSLA,"Tesla, Inc.",,,,,,
442,TXN,Texas Instruments,,,,,,
443,TXT,Textron,,,,,,
444,TMO,Thermo Fisher Scientific,,,,,,
445,TJX,TJX Companies,,,,,,
446,TSCO,Tractor Supply,,,,,,
447,TT,Trane Technologies,,,,,,
448,TDG,TransDigm Group,,,,,,
449,TRV,Travelers Companies (The),,,,,,
450,TRMB,Trimble Inc.,,,,,,
451,TFC,Truist,,,,,,
452,TYL,Tyler Technologies,,,,,,
453,TSN,Tyson Foods,,,,,,
454,USB,U.S. Bank,,,,,,
455,UBER,Uber,,,,,,
456,UDR,"UDR, Inc.",,,,,,
457,ULTA,Ulta Beauty,,,,,,
458,UNP,Union Pacific Corporation,,,,,,
459,UAL,United Airlines Holdings,,,,,,
460,UPS,United Parcel Service,,,,,,
461,URI,United Rentals,,,,,,
462,UNH,UnitedHealth Group,,,,,,
463,UHS,Universal Health Services,,,,,,
464,VLO,Valero Energy,,,,,,
465,VTR,Ventas,,,,,,
466,VLTO,Veralto,,,,,,
467,VRSN,Verisign,,,,,,
468,VRSK,Verisk,,,,,,
469,VZ,Verizon,,,,,,
470,VRTX,Vertex Pharmaceuticals,,,,,,
471,VFC,VF Corporation,,,,,,
472,VTRS,Viatris,,,,,,
473,VICI,Vici Properties,,,,,,
474,V,Visa Inc.,,,,,,
475,VMC,Vulcan Materials Company,,,,,,
476,WRB,Berkley,,,,,,
477,WAB,Wabtec,,,,,,
478,WBA,Walgreens Boots Alliance,,,,,,
479,WMT,Walmart,,,,,,
480,DIS,Walt Disney,,,,,,
481,WBD,Warner Bros. Discovery,,,,,,
482,WM,Waste Management,,,,,,
483,WAT,Waters Corporation,,,,,,
484,WEC,WEC Energy Group,,,,,,
485,WFC,Wells Fargo,,,,,,
486,WELL,Welltower,,,,,,
487,WST,West Pharmaceutical Services,,,,,,
488,WDC,Western Digital,,,,,,
489,WRK,WestRock,,,,,,
490,WY,Weyerhaeuser,,,,,,
491,WHR,Whirlpool Corporation,,,,,,
492,WMB,Williams Companies,,,,,,
493,WTW,Willis Towers Watson,,,,,,
494,GWW,W. W. Grainger,,,,,,
495,WYNN,Wynn Resorts,,,,,,
496,XEL,Xcel Energy,,,,,,
497,XYL,Xylem Inc.,,,,,,
498,YUM,Yum! Brands,,,,,,
499,ZBRA,Zebra Technologies,,,,,,
500,ZBH,Zimmer Biomet,,,,,,
501,ZION,Zions Bancorporation,,,,,,
502,ZTS,Zoetis,,,,,,
,ABB.NS,ABB India Limited,,,,,,
,AEGISLOG.NS,AEGIS LOGISTICS LTD.,,,,,,
,ARE&M.NS,Amara Raja Energy & Mobility Ltd,,,,,,
,AMBALALSA.NS,AMBALAL SARABHAI ENTERPRISES LTD.,,,,,,
,ANDHRAPET.NS,ANDHRA PETROCHEMICALS LTD.,,,,,,ANDHRAPET
,UTIQUE.NS,Utique Enterprises Ltd,,,,,,UTIQUE
,ARUNAHTEL.NS,ARUNA HOTELS LTD.,,,,,,ARUNAHTEL
,BOMDYEING.NS,BOMBAY DYEING & MFG.CO.LTD.,,,,,,BOMDYEING
,ASIANHOTNR.NS,Asian Hotels (North) Limited,,,,,,ASIANHOTNR
,ATUL.NS,ATUL LTD.,,,,,,ATUL
,ATVPR.NS,ATV PROJECTS INDIA LTD.,,,,,,ATVPR
,BAJAJELEC.NS,BAJAJ ELECTRICALS LTD.-$,,,,,,BAJAJELEC
,BAJAJHIND.NS,Bajaj Hindusthan Sugar Limited,,,,,,BAJAJHIND
,FORCEMOT.NS,FORCE MOTORS LTD.-$,,,,,,FORCEMOT
,BAJFINANCE.NS,Bajaj Finance Limited,,,,,,BAJFINANCE
,BALRAMCHIN.NS,BALRAMPUR CHINI MILLS LTD.,,,,,,BALRAMCHIN
,BANCOINDIA.NS,BANCO PRODUCTS (INDIA) LTD.-$,,,,,,BANCOINDIA
,CENTURYTEX.NS,CENTURY TEXTILES & INDUSTRIES LTD.,,,,,,CENTURYTEX
,BANARISUG.NS,BANNARI AMMAN SUGARS LTD.,,,,,,BANARISUG
,BASF.NS,BASF INDIA LTD.,,,,,,BASF
,BATAINDIA.NS,BATA INDIA LTD.,,,,,,BATAINDIA
,BEML.NS,BEML LTD.,,,,,,BEML
,BEL.NS,BHARAT ELECTRONICS LTD.,,,,,,BEL
,BEPL.NS,BHANSALI ENGINEERING POLYMERS LTD.-$,,,,,,BEPL
,BIHSPONG.NS,BIHAR SPONGE IRON LTD.,,,,,,BIHSPONG
,BINANIIND.NS,BINANI INDUSTRIES LTD.,,,,,,BINANIIND
,BIRLACABLE.NS,Birla Cable Ltd,,,,,,BIRLACABLE
,BLUESTARCO.NS,BLUE STAR LTD.,,,,,,BLUESTARCO
,DISAQ.NS,DISA INDIA LTD.,,,,,,DISAQ
,QUESTCAP.NS,Quest Capital Markets Ltd,,,,,,QUESTCAP
,BPL.NS,BPL LTD.,,,,,,BPL
,OAL.NS,Oriental Aromatics Ltd-$,,,,,,OAL
,CENTEXT.NS,CENTURY EXTRUSIONS LTD.,,,,,,CENTEXT
,CESC.NS,CESC LTD.,,,,,,CESC
,CHAMBLFERT.NS,CHAMBAL FERTILISERS & CHEMICALS LTD.,,,,,,CHAMBLFERT
,EXIDEIND.NS,EXIDE INDUSTRIES LTD.,,,,,,EXIDEIND
,CIPLA.NS,CIPLA LTD.,,,,,,CIPLA
,DICIND.NS,DIC INDIA LTD.,,,,,,DICIND
,CRISIL.NS,CRISIL LTD.,,,,,,CRISIL
,CGPOWER.NS,CG Power and Industrial Solutions Ltd,,,,,,CGPOWER
,DABUR.NS,DABUR INDIA LTD.,,,,,,DABUR
,DALMIASUG.NS,Dalmia Bharat Sugar and Industries Ltd,,,,,,DALMIASUG
,ARVIND.NS,ARVIND LTD.,,,,,,ARVIND
,BHEL.NS,BHARAT HEAVY ELECTRICALS LTD.,,,,,,BHEL
,HINDPETRO.NS,HINDUSTAN PETROLEUM CORPORATION LTD.,,,,,,HINDPETRO
,IFCI.NS,IFCI LTD.,,,,,,IFCI
,MTNL.NS,MAHANAGAR TELEPHONE NIGAM LTD.,,,,,,MTNL
,MRPL.NS,MANGALORE REFINERY & PETROCHEMICALS LTD.,,,,,,MRPL
,CHENNPETRO.NS,CHENNAI PETROLEUM CORPORATION LTD.,,,,,,CHENNPETRO
,SBIN.NS,STATE BANK OF INDIA,,,,,,SBIN
,SAIL.NS,STEEL AUTHORITY OF INDIA LTD.,,,,,,SAIL
,TITAN.NS,Titan Company Limited,,,,,,TITAN
,IDBI.NS,IDBI BANK LTD.,,,,,,IDBI
,DCW.NS,DCW LTD.,,,,,,DCW
,DHAMPURSUG.NS,DHAMPUR SUGAR MILLS LTD.,,,,,,DHAMPURSUG
,DIAMINESQ.NS,DIAMINES & CHEMICALS LTD.-$,,,,,,DIAMINESQ
,ELANTAS.NS,ELANTAS BECK INDIA LTD.-$,,,,,,ELANTAS
,DRREDDY.NS,DR.REDDY'S LABORATORIES LTD.,,,,,,DRREDDY
,EIDPARRY.NS,E.I.D.-PARRY (INDIA) LTD.,,,,,,EIDPARRY
,PGHL.NS,Procter & Gamble Health Ltd,,,,,,PGHL
,ELECTCAST.NS,ELECTROSTEEL CASTINGS LTD.,,,,,,ELECTCAST
,ESABINDIA.NS,ESAB INDIA LTD.,,,,,,ESABINDIA
,EPL.NS,EPL Ltd,,,,,,EPL
,ESTER.NS,ESTER INDUSTRIES LTD.,,,,,,ESTER
,FGP.NS,FGP LTD.,,,,,,FGP
,PHCAP.NS,PH CAPITAL LTD.,,,,,,PHCAP
,FINCABLES.NS,FINOLEX CABLES LTD.,,,,,,FINCABLES
,COCKERILL.NS,John Cockerill India Ltd-$,,,,,,COCKERILL
,UFLEX.NS,UFLEX LTD.,,,,,,UFLEX
,FOSECOIND.NS,FOSECO INDIA LTD.,,,,,,FOSECOIND
,GOLDENTOBC.NS,GOLDEN TOBACCO LTD.,,,,,,GOLDENTOBC
,GANESHBE.NS,GANESH BENZOPLAST LTD.,,,,,,GANESHBE
,METROGLOBL.NS,Metroglobal Limited,,,,,,METROGLOBL
,GTL.NS,GTL LTD.,,,,,,GTL
,GODFRYPHLP.NS,GODFREY PHILLIPS INDIA LTD.,,,,,,GODFRYPHLP
,GODREJIND.NS,GODREJ INDUSTRIES LTD.,,,,,,GODREJIND
,KANSAINER.NS,KANSAI NEROLAC PAINTS LTD.,,,,,,KANSAINER
,GOODRICKE.NS,GOODRICKE GROUP LTD.,,,,,,GOODRICKE
,GOODYEAR.NS,GOODYEAR INDIA LTD.,,,,,,GOODYEAR
,GTNINDS.NS,GTN INDUSTRIES LTD.,,,,,,GTNINDS
,GHCL.NS,GHCL LTD.,,,,,,GHCL
,GFLLIMITED.NS,GFL Ltd,,,,,,GFLLIMITED
,GLFL.NS,GUJARAT LEASE FINANCING LTD.,,,,,,GLFL
,HCL-INSYS.NS,HCL INFOSYSTEMS LTD.,,,,,,HCL-INSYS
,HDFCBANK.NS,HDFC Bank Ltd,,,,,,HDFCBANK
,HEROMOTOCO.NS,HERO MOTOCORP LTD.,,,,,,HEROMOTOCO
,HFCL.NS,HFCL Ltd,,,,,,HFCL
,HSCL.NS,Himadri Speciality Chemical Ltd,,,,,,HSCL
,HCC.NS,HINDUSTAN CONSTRUCTION CO.LTD.,,,,,,HCC
,HINDOILEXP.NS,HINDUSTAN OIL EXPLORATION CO.LTD.,,,,,,HINDOILEXP
,AGI.NS,Agi Greenpac Ltd,,,,,,AGI
,HINDZINC.NS,HINDUSTAN ZINC LTD.,,,,,,HINDZINC
,NDLVENTURE.NS,NDL Ventures Ltd,,,,,,NDLVENTURE
,HMT.NS,HMT LTD.,,,,,,HMT
,PRAGBOS.NS,PRAG BOSIMI SYNTHETICS LTD.,,,,,,PRAGBOS
,HLVLTD.NS,HLV Ltd,,,,,,HLVLTD
,IGPL.NS,I G PETROCHEMICALS LTD.,,,,,,IGPL
,INDIAGLYCO.NS,INDIA GLYCOLS LTD.,,,,,,INDIAGLYCO
,INDLEASE.NS,INDIA LEASE DEVELOPMENT LTD.,,,,,,INDLEASE
,MARGOFIN.NS,Margo Finance Limited,,,,,,MARGOFIN
,INDORAMA.NS,INDO RAMA SYNTHETICS (INDIA) LTD.,,,,,,INDORAMA
,INFY.NS,INFOSYS LTD.,,,,,,INFY
,INGERRAND.NS,INGERSOLL-RAND (INDIA) LTD.,,,,,,INGERRAND
