,ZYDUSWELL.NS,ZYDUS WELLNESS LTD.-$,,,,,,ZYDUSWELL
,WINPRO.NS,WinPro Industries Ltd,,,,,,WINPRO
,MILESTONE.NS,MILESTONE GLOBAL LTD.,,,,,,MILESTONE
,BERVINL.NS,BERVIN INVESTMENT & LEASING LTD.,,,,,,BERVINL
,GUJINV.NS,GUJARAT INVESTA LTD.,,,,,,GUJINV
,CONCOR.NS,CONTAINER CORPORATION OF INDIA LTD.,,,,,,CONCOR
,EASTRED.NS,EASTERN TREADS LTD.,,,,,,EASTRED
,PANACEABIO.NS,PANACEA BIOTEC LTD.,,,,,,PANACEABIO
,PEETISEC.NS,PEETI SECURITIES LTD.,,,,,,PEETISEC
,MERCURYEV.NS,Mercury Ev-Tech Ltd,,,,,,MERCURYEV
,CHOICEIN.NS,CHOICE INTERNATIONAL LTD.,,,,,,CHOICEIN
,SRAMSET.NS,SHRIRAM ASSET MANAGEMENT CO.LTD.,,,,,,SRAMSET
,GOLECHA.NS,GOLECHHA GLOBAL FINANCE LTD.,,,,,,GOLECHA
,EKANSH.NS,Ekansh Concepts Ltd,,,,,,EKANSH
,SPAR.NS,Sparc Electrex Ltd,,,,,,SPAR
,BYKE.NS,THE BYKE HOSPITALITY LTD.,,,,,,BYKE
,CSURGSU.NS,CENTENIAL SURGICAL SUTURE LTD.,,,,,,CSURGSU
,ARIHANT.NS,ARIHANT FOUNDATIONS & HOUSING LTD.-$,,,,,,ARIHANT
,HASTIFIN.NS,HASTI FINANCE LTD.,,,,,,HASTIFIN
,UPSURGE.NS,UPSURGE INVESTMENT & FINANCE LTD.,,,,,,UPSURGE
,PADAMCO.NS,PADAM COTTON YARNS LTD.,,,,,,PADAMCO
,WOMENNET.NS,WOMEN NETWORKS LTD.,,,,,,WOMENNET
,POLYCON.NS,POLYCON INTERNATIONAL LTD.,,,,,,POLYCON
,SOURCENTRL.NS,SOURCE NATURAL FOODS & HERBAL SUPPL LTD.,,,,,,SOURCENTRL
,GGAUTO.NS,G.G.AUTOMOTIVE GEARS LTD.,,,,,,GGAUTO
,ALMONDZ.NS,ALMONDZ GLOBAL SECURITIES LTD.,,,,,,ALMONDZ
,LWSKNIT.NS,LWS KNITWEAR LTD.,,,,,,LWSKNIT
,ANSINDUS.NS,ANS Industries Ltd,,,,,,ANSINDUS
,ALCHCORP.NS,ALCHEMIST CORPORATION LTD.,,,,,,ALCHCORP
,TUNITEX.NS,TUNI TEXTILE MILLS LTD.,,,,,,TUNITEX
,RADIXIND.NS,Radix Industries (India) Limited,,,,,,RADIXIND
,KIRANPR.NS,KIRAN PRINT-PACK LTD.,,,,,,KIRANPR
,NARPROP.NS,NARENDRA PROPERTIES LTD.,,,,,,NARPROP
,MEGACOR.NS,MEGA CORPORATION LTD.,,,,,,MEGACOR
,TNPL.NS,TAMIL NADU NEWSPRINT & PAPERS LTD.,,,,,,TNPL
,SHAKTIPUMP.NS,SHAKTI PUMPS (INDIA) LTD.-$,,,,,,SHAKTIPUMP
,SYTIXSE.NS,SYSTEMATIX SECURITIES LTD.,,,,,,SYTIXSE
,SUNGOLD.NS,SUNGOLD CAPITAL LTD.,,,,,,SUNGOLD
,SAFFRON.NS,Saffron Industries Limited,,,,,,SAFFRON
,PWASML.NS,Prakash Woollen & Synthetic Mills Ltd,,,,,,PWASML
,GOLDTECH.NS,Aion-Tech Solutions Ltd,,,,,,GOLDTECH
,VARDHMAN.NS,Vardhman Concrete Limited,,,,,,VARDHMAN
,GRMOVER.NS,GRM OVERSEAS LTD.,,,,,,GRMOVER
,MOHITIND.NS,MOHIT INDUSTRIES LTD.-$,,,,,,MOHITIND
,POLYLINK.NS,POLYLINK POLYMERS (INDIA) LTD.,,,,,,POLYLINK
,MINAXI.NS,MINAXI TEXTILES LTD.,,,,,,MINAXI
,CONTICON.NS,CONTINENTAL CONTROLS LTD.,,,,,,CONTICON
,NOUVEAU.NS,NOUVEAU GLOBAL VENTURES LTD.,,,,,,NOUVEAU
,DUKEOFS.NS,DUKE OFFSHORE LTD.,,,,,,DUKEOFS
,CYBELEIND.NS,CYBELE INDUSTRIES LTD.,,,,,,CYBELEIND
,CGVAK.NS,CG-VAK SOFTWARE & EXPORTS LTD.,,,,,,CGVAK
,NAVKAR.NS,Navkar Urbanstructure Ltd,,,,,,NAVKAR
,BLUECOAST.NS,BLUE COAST HOTELS LTD.,,,,,,BLUECOAST
,MADHUCON.NS,MADHUCON PROJECTS LTD.-$,,,,,,MADHUCON
,SYBLY.NS,SYBLY INDUSTRIES LTD.-$,,,,,,SYBLY
,RAJESHEXPO.NS,RAJESH EXPORTS LTD.,,,,,,RAJESHEXPO
,ESARIND.NS,ESAAR (INDIA) LTD.,,,,,,ESARIND
,MARIS.NS,MARIS SPINNERS LTD.-$,,,,,,MARIS
,INDERGR.NS,INDERGIRI FINANCE LTD.,,,,,,INDERGR
,SKRABUL.NS,SHUKRA BULLIONS LTD.,,,,,,SKRABUL
,EVEREADY.NS,EVEREADY INDUSTRIES INDIA LTD.,,,,,,EVEREADY
,STEP2COR.NS,STEP TWO CORPORATION LTD.,,,,,,STEP2COR
,ORIENTTR.NS,ORIENT TRADELINK LTD.,,,,,,ORIENTTR
,MAHANIN.NS,MAHAN INDUSTRIES LTD.,,,,,,MAHANIN
,VIKASPROP.NS,Vikas Proppant & Granite Ltd,,,,,,VIKASPROP
,DESHRAK.NS,DESH RAKSHAK AUSHDHALAYA LTD.,,,,,,DESHRAK
,ACESOFT.NS,ACE SOFTWARE EXPORTS LTD.-$,,,,,,ACESOFT
,SOFTRAKV.NS,SOFTRAK VENTURE INVESTMENT LTD.,,,,,,SOFTRAKV
,HATSUN.NS,HATSUN AGRO PRODUCT LTD.,,,,,,HATSUN
,RISHDIGA.NS,RISHABH DIGHA STEEL & ALLIED PRODUCTS LTD.-$,,,,,,RISHDIGA
,MAINFRA.NS,MARUTI INFRASTRUCTURE LTD.,,,,,,MAINFRA
,KOBO.NS,Kobo Biotech Ltd-$,,,,,,KOBO
,JINDWORLD.NS,JINDAL WORLDWIDE LTD.,,,,,,JINDWORLD
,SOMANYCERA.NS,SOMANY CERAMICS LTD.,,,,,,SOMANYCERA
,JHACC.NS,JHAVERI CREDITS & CAPITAL LTD.,,,,,,JHACC
,RAGHUTOB.NS,RAGHUNATH TOBACCO CO.LTD.,,,,,,RAGHUTOB
,DRL.NS,Disha Resources Ltd,,,,,,DRL
,CORALFINAC.NS,CORAL INDIA FINANCE & HOUSING LTD.,,,,,,CORALFINAC
,SANJIVIN.NS,SANJIVANI PARANTERAL LTD.,,,,,,SANJIVIN
,VASINFRA.NS,VAS INFRASTRUCTURE LTD.,,,,,,VASINFRA
,KMFBLDR.NS,KMF BUILDERS & DEVELOPERS LTD.,,,,,,KMFBLDR
,BERYLSE.NS,BERYL SECURITIES LTD.,,,,,,BERYLSE
,RAP.NS,RAP MEDIA LTD.,,,,,,RAP
,DEVINE.NS,DEVINE IMPEX LTD.,,,,,,DEVINE
,BAMPSL.NS,BAMPSL SECURITIES LTD.,,,,,,BAMPSL
,GENPHARMA.NS,Genpharmasec Ltd,,,,,,GENPHARMA
,INCON.NS,INCON ENGINEERS LTD.,,,,,,INCON
,CGCL.NS,Capri Global Capital Limited,,,,,,CGCL
,FDC.NS,FDC LTD.,,,,,,FDC
,GOGIACAP.NS,Gogia Capital Services Limited,,,,,,GOGIACAP
,GORANIN.NS,GORANI INDUSTRIES LTD.,,,,,,GORANIN
,KGPETRO.NS,KG PETROCHEM LTD.,,,,,,KGPETRO
,COUNCODOS.NS,COUNTRY CONDO'S LTD.,,,,,,COUNCODOS
,OROSMITHS.NS,OROSIL SMITHS INDIA LTD.-$,,,,,,OROSMITHS
,TEJASSVI.NS,Tejassvi Aaharam Ltd,,,,,,TEJASSVI
,LINCOLN.NS,LINCOLN PHARMACEUTICALS LTD.,,,,,,LINCOLN
,SILVOAK.NS,SILVER OAK (INDIA) LTD.,,,,,,SILVOAK
,PRAVEG.NS,Praveg Ltd,,,,,,PRAVEG
,SURAJLTD.NS,SURAJ LTD.-$,,,,,,SURAJLTD
,SICL.NS,Suvidha Infraestate Corporation Limited,,,,,,SICL
,MARICO.NS,MARICO LTD.,,,,,,MARICO
,TOKYOFIN.NS,TOKYO FINANCE LTD.,,,,,,TOKYOFIN
,NATGENI.NS,NATIONAL GENERAL INDUSTRIES LTD.,,,,,,NATGENI
,HITTCO.NS,HITTCO TOOLS LTD.,,,,,,HITTCO
,VISIONCO.NS,VISION CORPORATION LTD.,,,,,,VISIONCO
,BISIL.NS,Bisil Plast Limited,,,,,,BISIL
,INANISEC.NS,INANI SECURITIES LTD.,,,,,,INANISEC
,ANKIN.NS,ANKA INDIA LTD.,,,,,,ANKIN
,VAGHANI.NS,VAGHANI TECHNO-BUILD LTD.,,,,,,VAGHANI
,AMERISE.NS,Amerise Biosciences Ltd,,,,,,AMERISE
,PRITHVIEXCH.NS,Prithvi Exchange (India) Ltd,,,,,,PRITHVIEXCH
,RAINBOWF.NS,RAINBOW FOUNDATIONS LTD.,,,,,,RAINBOWF
,VSDCONF.NS,VSD CONFIN LTD.,,,,,,VSDCONF
,TRICOMFRU.NS,Tricom Fruit Products Limited,,,,,,TRICOMFRU
,VIDHIING.NS,Vidhi Specialty Food Ingredients Ltd-$,,,,,,VIDHIING
,BHAGCHEM.NS,BHAGIRADHA CHEMICALS & INDUSTRIES LTD.,,,,,,BHAGCHEM
,GATECH.NS,GACM Technologies Ltd,,,,,,GATECH
,PANCHSHEEL.NS,PANCHSHEEL ORGANICS LTD.,,,,,,PANCHSHEEL
,MENNPIS.NS,MENON PISTONS LTD.,,,,,,MENNPIS
,PRISMFN.NS,PRISM FINANCE LTD.,,,,,,PRISMFN
,GREENCREST.NS,Greencrest Financial Services Limited,,,,,,GREENCREST
,GENNEX.NS,GENNEX LABORATORIES LTD.,,,,,,GENNEX
,HIRAUTO.NS,HIRA AUTOMOBILES LTD.,,,,,,HIRAUTO
,GINISILK.NS,GINI SILK MILLS LTD.-$,,,,,,GINISILK
,PRAENG.NS,PRAJAY ENGINEERS SYNDICATE LTD.,,,,,,PRAENG
,BIOGEN.NS,Biogen Pharmachem Industries Ltd,,,,,,BIOGEN
,GKCONS.NS,G.K.CONSULTANTS LTD.,,,,,,GKCONS
,APOLLOPIPE.NS,Apollo Pipes Ltd,,,,,,APOLLOPIPE
,UNJHAFOR.NS,UNJHA FORMULATIONS LTD.,,,,,,UNJHAFOR
,POLYMED.NS,POLY MEDICURE LTD.,,,,,,POLYMED
,SHRADDHA.NS,Shraddha Prime Projects Ltd,,,,,,SHRADDHA
,KACHCHH.NS,KACHCHH MINERALS LTD.,,,,,,KACHCHH
,PADALPO.NS,PADMANABH ALLOYS & POLYMERS LTD.,,,,,,PADALPO
,KACL.NS,Kaiser Corporation Limited,,,,,,KACL
,KCLINFRA.NS,KCL Infra Projects Ltd,,,,,,KCLINFRA
,ATULAUTO.NS,ATUL AUTO LTD.-$,,,,,,ATULAUTO
,SCANPRO.NS,SCAN PROJECTS LTD.,,,,,,SCANPRO
,PRERINFRA.NS,PRERNA INFRABUILD LTD.,,,,,,PRERINFRA
,METALCO.NS,METAL COATINGS (INDIA) LTD.,,,,,,METALCO
,SGNTE.NS,SGN TELECOMS LTD.,,,,,,SGNTE
,GANGAPA.NS,GANGA PAPERS INDIA LTD.,,,,,,GANGAPA
,TIRSARJ.NS,TIRUPATI SARJAN LTD.,,,,,,TIRSARJ
,NUWAY.NS,NUWAY ORGANIC NATURALS INDIA LTD.,,,,,,NUWAY
,MUNOTHFI.NS,MUNOTH FINANCIAL SERVICES LTD.,,,,,,MUNOTHFI
,RODIUM.NS,Rodium Realty Limited,,,,,,RODIUM
,NAGTECH.NS,NAGARJUNA AGRI TECH LTD.,,,,,,NAGTECH
,NATHUEC.NS,NATURA HUE CHEM LTD.,,,,,,NATHUEC
,INDUSFINL.NS,Indus Finance Ltd,,,,,,INDUSFINL
,LAHOTIOV.NS,LAHOTI OVERSEAS LTD.-$,,,,,,LAHOTIOV
,ZENITHSTL.NS,Zenith Steel Pipes & Industries Ltd-$,,,,,,ZENITHSTL
,TRINITYLEA.NS,TRINITY LEAGUE INDIA LTD.,,,,,,TRINITYLEA
,ASTAR.NS,ASIAN STAR CO.LTD.-$,,,,,,ASTAR
,ORIRAIL.NS,Oriental Rail Infrastructure Ltd,,,,,,ORIRAIL
,JOINDRE.NS,JOINDRE CAPITAL SERVICES LTD.,,,,,,JOINDRE
,BHARATAGRI.NS,BHARAT AGRI FERT & REALTY LTD.,,,,,,BHARATAGRI
,UNITINT.NS,UNITECH INTERNATIONAL LTD.,,,,,,UNITINT
,SACHEMT.NS,SACHETA METALS LTD.,,,,,,SACHEMT
,POPULARES.NS,POPULAR ESTATE MANAGEMENT LTD.,,,,,,POPULARES
,ANJANIFIN.NS,ANJANI FINANCE LTD.,,,,,,ANJANIFIN
,SVAINDIA.NS,SVA INDIA LTD.,,,,,,SVAINDIA
,RAHME.NS,RAHUL MERCHANDISING LTD.,,,,,,RAHME
,REXNORD.NS,REXNORD ELECTRONICS & CONTROLS LTD.,,,,,,REXNORD
,IIL.NS,Integrated Industries Ltd,,,,,,IIL
,KHANDSE.NS,KHANDWALA SECURITIES LTD.,,,,,,KHANDSE
,SAWABUSI.NS,SAWACA BUSINESS MACHINES LTD.,,,,,,SAWABUSI
,CCLINTER.NS,CCL INTERNATIONAL LTD.,,,,,,CCLINTER
,GALLOPENT.NS,GALLOPS ENTERPRISE LTD.,,,,,,GALLOPENT
,CROISSANCE.NS,Croissance Ltd,,,,,,CROISSANCE
,MADHUVEER.NS,Madhuveer Com 18 Network Ltd,,,,,,MADHUVEER
,GALAGEX.NS,GALAXY AGRICO EXPORTS LTD.,,,,,,GALAGEX
,GOPAIST.NS,GOPAL IRON & STEELS CO.(GUJARAT) LTD.,,,,,,GOPAIST
,HINDAPL.NS,HINDUSTAN APPLIANCES LTD.,,,,,,HINDAPL
,AGARIND.NS,AGARWAL INDUSTRIAL CORPORATION LTD.,,,,,,AGARIND
,DHAMPURE.NS,DHAMPURE SPECIALITY SUGARS LTD.,,,,,,DHAMPURE
,SHAQUAK.NS,SHANTANU SHEOREY AQUAKULT LTD.,,,,,,SHAQUAK
,INNOCORP.NS,INNOCORP LTD.,,,,,,INNOCORP
,SARTHAKIND.NS,SARTHAK INDUSTRIES LTD.,,,,,,SARTHAKIND
,SAICAPI.NS,SAI CAPITAL LTD.,,,,,,SAICAPI
,BLUECHIP.NS,BLUE CHIP INDIA LTD.,,,,,,BLUECHIP
,SERVOTEACH.NS,Servoteach Industries Ltd,,,,,,SERVOTEACH
,CHADPAP.NS,CHADHA PAPERS LTD.,,,,,,CHADPAP
,VERTEX.NS,VERTEX SECURITIES LTD.,,,,,,VERTEX
,RIBATEX.NS,RIBA TEXTILES LTD.,,,,,,RIBATEX
,NEWINFRA.NS,Newtime Infrastructure Limited,,,,,,NEWINFRA
,KASHYAP.NS,Kashyap Tele-Medicines Ltd,,,,,,KASHYAP
,SHREMETAL.NS,SHREE METALLOYS LTD.,,,,,,SHREMETAL
,IITLPROJ.NS,IITL PROJECTS LIMITED,,,,,,IITLPROJ
,HARIGOV.NS,HARI GOVIND INTERNATIONAL LTD.,,,,,,HARIGOV
,CHLOGIST.NS,CHARTERED LOGISTICS LTD.,,,,,,CHLOGIST
,AMBIKCO.NS,AMBIKA COTTON MILLS LTD.,,,,,,AMBIKCO
,HINDALUMI.NS,HIND ALUMINIUM INDUSTRIES LTD.-$,,,,,,HINDALUMI
,SENINFO.NS,Senthil Infotek Ltd,,,,,,SENINFO
,SPECFOOD.NS,SPECTRUM FOODS LTD.,,,,,,SPECFOOD
,AMRAAGRI.NS,AMRAWORLD AGRICO LTD.,,,,,,AMRAAGRI
,AUTOPINS.NS,AUTO PINS (INDIA) LTD.,,,,,,AUTOPINS
,ODYCORP.NS,ODYSSEY CORPORATION LTD.,,,,,,ODYCORP
,INDCTST.NS,INDUCTO STEEL LTD.,,,,,,INDCTST
,SAMINDUS.NS,SAM INDUSTRIES LTD.,,,,,,SAMINDUS
,SHVFL.NS,SHREEVATSAA FINANCE & LEASING LTD.,,,,,,SHVFL
,POOJAENT.NS,POOJA ENTERTAINMENT AND FILMS LTD.,,,,,,POOJAENT
,GRAVITY.NS,GRAVITY (INDIA) LTD.-$,,,,,,GRAVITY
,ESPIRE.NS,Espire Hospitality Limited,,,,,,ESPIRE
,LCCINFOTEC.NS,LCC INFOTECH LTD.,,,,,,LCCINFOTEC
,FILATFASH.NS,FILATEX FASHIONS LTD.,,,,,,FILATFASH
,RBGUPTA.NS,R.B.GUPTA FINANCIALS LTD.,,,,,,RBGUPTA
,SINDHUTRAD.NS,Sindhu Trade Links Limited,,,,,,SINDHUTRAD
,UNISTRMU.NS,UNISTAR MULTIMEDIA LTD.,,,,,,UNISTRMU
,ZENOTECH.NS,ZENOTECH LABORATORIES LTD.,,,,,,ZENOTECH
,HINDBIO.NS,HINDUSTAN BIO SCIENCES LTD.,,,,,,HINDBIO
,FRONTCORP.NS,FRONTLINE CORPORATION LTD.,,,,,,FRONTCORP
,SWELECTES.NS,Swelect Energy Systems Limited-$,,,,,,SWELECTES
,WALLFORT.NS,WALLFORT FINANCIAL SERVICES LTD.,,,,,,WALLFORT
,KDDL.NS,KDDL LTD.-$,,,,,,KDDL
,ADIEXRE.NS,ADINATH EXIM RESOURCES LTD.,,,,,,ADIEXRE
,ABHICAP.NS,ABHINAV CAPITAL SERVICES LTD.,,,,,,ABHICAP
,3BBLACKBIO.NS,3B BlackBio Dx Ltd,,,,,,3BBLACKBIO
,SUMUKA.NS,Sumuka Agro Industries Ltd,,,,,,SUMUKA
,MONIND.NS,Monind Ltd,,,,,,MONIND
,SHKALYN.NS,SHRI KALYAN HOLDINGS LTD.,,,,,,SHKALYN
,SAGARPROD.NS,Sagar Productions Limited,,,,,,SAGARPROD
,INDOCITY.NS,INDO-CITY INFOTECH LTD.-$,,,,,,INDOCITY
,SBECSUG.NS,SBEC SUGAR LTD.,,,,,,SBECSUG
,MEGFI.NS,MEGA FIN (INDIA) LTD.,,,,,,MEGFI
,BRIJLEAS.NS,BRIJLAXMI LEASING & FINANCE LTD.,,,,,,BRIJLEAS
,BSELALGO.NS,BSEL Algo Ltd,,,,,,BSELALGO
,RELIABVEN.NS,RELIABLE VENTURES INDIA LTD.,,,,,,RELIABVEN
,BANKBARODA.NS,BANK OF BARODA,,,,,,BANKBARODA
,SMCREDT.NS,SMC CREDITS LTD.,,,,,,SMCREDT
,MOHITE.NS,Mohite Industries Ltd,,,,,,MOHITE
,ACL.NS,ANDHRA CEMENTS LTD.,,,,,,ACL
,SKMEGGPROD.NS,SKM EGG PRODUCTS EXPORT (INDIA) LTD.,,,,,,SKMEGGPROD
,WELCORP.NS,Welspun Corp Limited,,,,,,WELCORP
,HOTLSILV.NS,H.S.INDIA LTD.,,,,,,HOTLSILV
,BANKINDIA.NS,BANK OF INDIA,,,,,,BANKINDIA
,INDRAMEDCO.NS,INDRAPRASTHA MEDICAL CORP.LTD.,,,,,,INDRAMEDCO
,JOHNPHARMA.NS,Johnson Pharmacare Ltd,,,,,,JOHNPHARMA
,GAIL.NS,GAIL (INDIA) LTD.,,,,,,GAIL
,VAIBHAVGBL.NS,Vaibhav Global Ltd,,,,,,VAIBHAVGBL
,TRESCON.NS,Trescon Ltd,,,,,,TRESCON
,GUJSTATFIN.NS,Gujarat State Financial Corporation,,,,,,GUJSTATFIN
,JKPAPER.NS,JK PAPER LTD.,,,,,,JKPAPER
,SAREGAMA.NS,SAREGAMA INDIA LTD.,,,,,,SAREGAMA
,MINOLTAF.NS,MINOLTA FINANCE LTD.,,,,,,MINOLTAF
,OMKARPH.NS,OMKAR PHARMACHEM LTD.,,,,,,OMKARPH
,ADROITINFO.NS,Adroit Infotech Ltd,,,,,,ADROITINFO
,CYBERTECH.NS,CYBERTECH SYSTEMS AND SOFTWARE LTD.,,,,,,CYBERTECH
,ICICIBANK.NS,ICICI BANK LTD.,,,,,,ICICIBANK
,CYIENT.NS,Cyient Limited,,,,,,CYIENT
,ENGINERSIN.NS,ENGINEERS INDIA LTD.,,,,,,ENGINERSIN
,DHANBANK.NS,Dhanlaxmi Bank Limited,,,,,,DHANBANK
,GMDCLTD.NS,GUJARAT MINERAL DEVELOPMENT CORPORATION LTD.,,,,,,GMDCLTD
,GAYATRI.NS,GAYATRI SUGARS LTD.,,,,,,GAYATRI
,INDUSINDBK.NS,INDUSIND BANK LTD.,,,,,,INDUSINDBK
,ITDC.NS,INDIA TOURISM DEVELOPMENT CORPORATION LTD.,,,,,,ITDC
,J&KBANK.NS,JAMMU & KASHMIR BANK LTD.,,,,,,J&KBANK
,CUB.NS,CITY UNION BANK LTD.,,,,,,CUB
,ARCHIES.NS,ARCHIES LTD.,,,,,,ARCHIES
,AXISBANK.NS,AXIS BANK LTD.,,,,,,AXISBANK
,HBSL.NS,HB STOCKHOLDINGS LTD.,,,,,,HBSL
,SIELFNS.NS,SIEL FINANCIAL SERVICES LTD.,,,,,,SIELFNS
,SOUTHBANK.NS,SOUTH INDIAN BANK LTD.,,,,,,SOUTHBANK
,ENERGYDEV.NS,ENERGY DEVELOPMENT COMPANY LTD.,,,,,,ENERGYDEV
,SONATSOFTW.NS,SONATA SOFTWARE LTD.,,,,,,SONATSOFTW
,BENGALT.NS,BENGAL TEA & FABRICS LTD.,,,,,,BENGALT
,NATIONALUM.NS,NATIONAL ALUMINIUM CO.LTD.,,,,,,NATIONALUM
,INDNIPPON.NS,INDIA NIPPON ELECTRICALS LTD.,,,,,,INDNIPPON
,NSIL.NS,NALWA SONS INVESTMENTS LTD.,,,,,,NSIL
,APARINDS.NS,APAR INDUSTRIES LTD.,,,,,,APARINDS
,TCIIND.NS,TCI INDUSTRIES LTD.,,,,,,TCIIND
,ACCELYA.NS,Accelya Solutions India Ltd,,,,,,ACCELYA
,ORCHASP.NS,Orchasp Ltd,,,,,,ORCHASP
,HCLTECH.NS,HCL TECHNOLOGIES LTD.,,,,,,HCLTECH
,TCFCFINQ.NS,TCFC FINANCE LTD.,,,,,,TCFCFINQ
,GEOJITFSL.NS,Geojit Financial Services Ltd,,,,,,GEOJITFSL
,JINDALSTEL.NS,JINDAL STEEL & POWER LTD.,,,,,,JINDALSTEL
,BLBLIMITED.NS,BLB LTD.,,,,,,BLBLIMITED
,GLENMARK.NS,GLENMARK PHARMACEUTICALS LTD.,,,,,,GLENMARK
,WOCKPHARMA.NS,WOCKHARDT LTD.,,,,,,WOCKPHARMA
,INTEGHIT.NS,INTEGRATED HITECH LTD.,,,,,,INTEGHIT
,KJMCCORP.NS,KJMC Corporate Advisors (India) Ltd.,,,,,,KJMCCORP
,INDSWFTLAB.NS,IND-SWIFT LABORATORIES LTD.,,,,,,INDSWFTLAB
,MELSTAR.NS,MELSTAR INFORMATION TECHNOLOGIES LTD.,,,,,,MELSTAR
,GEPIL.NS,GE Power India Ltd,,,,,,GEPIL
,SHREERAMA.NS,SHREE RAMA MULTI-TECH LTD.,,,,,,SHREERAMA
,MAHLIFE.NS,MAHINDRA LIFESPACE DEVELOPERS LTD.,,,,,,MAHLIFE
,TELESYS.NS,TELESYS SOFTWARE LTD.,,,,,,TELESYS
,VAARAD.NS,Vaarad Ventures Ltd,,,,,,VAARAD
,ZYDUSLIFE.NS,Zydus Lifesciences Ltd,,,,,,ZYDUSLIFE
,SHIVACEM.NS,SHIVA CEMENT LTD.,,,,,,SHIVACEM
,CINEVISTA.NS,CINEVISTA LTD.,,,,,,CINEVISTA
,INTENTECH.NS,INTENSE TECHNOLOGIES LTD.-$,,,,,,INTENTECH
,DANLAW.NS,DANLAW TECHNOLOGIES INDIA LTD.-$,,,,,,DANLAW
,AJANTPHARM.NS,AJANTA PHARMA LTD.,,,,,,AJANTPHARM
,HBPOR.NS,HB PORTFOLIO LTD.,,,,,,HBPOR
,HBESD.NS,HB ESTATE DEVELOPERS LTD.,,,,,,HBESD
,AMBICAAGAR.NS,AMBICA AGARBATHIES & AROMA INDUSTRIES LTD.,,,,,,AMBICAAGAR
,COMPUSOFT.NS,COMPUCOM SOFTWARE LTD.-$,,,,,,COMPUSOFT
,OMNIAX.NS,OMNI AXS SOFTWARE LTD.,,,,,,OMNIAX
,IZMO.NS,IZMO Limited-$,,,,,,IZMO
,TVSMOTOR.NS,TVS MOTOR COMPANY LTD.,,,,,,TVSMOTOR
,SOFTSOL.NS,SOFTSOL INDIA LTD.,,,,,,SOFTSOL
,ACLGATI.NS,Allcargo Gati Ltd,,,,,,ACLGATI
,SUBEXLTD.NS,SUBEX LTD.,,,,,,SUBEXLTD
,TCI.NS,TRANSPORT CORPORATION OF INDIA LTD.,,,,,,TCI
,PADMALAYAT.NS,PADMALAYA TELEFILMS LTD.,,,,,,PADMALAYAT
,AKSHOPTFBR.NS,AKSH OPTIFIBRE LTD.,,,,,,AKSHOPTFBR
,VIRGOGLOB.NS,Virgo Global Ltd,,,,,,VIRGOGLOB
,PICTUREHS.NS,PICTUREHOUSE MEDIA LTD.,,,,,,PICTUREHS
,TRIVENI.NS,TRIVENI ENGINEERING & INDUSTRIES LTD.,,,,,,TRIVENI
,MUKTAARTS.NS,MUKTA ARTS LTD.,,,,,,MUKTAARTS
,HITKITGLO.NS,HIT KIT GLOBAL SOLUTIONS LTD.,,,,,,HITKITGLO
,NAGPI.NS,NAGPUR POWER & INDUSTRIES LTD.,,,,,,NAGPI
,DSSL.NS,DYNACONS SYSTEMS & SOLUTIONS LTD.,,,,,,DSSL
,PNBGILTS.NS,PNB GILTS LTD.,,,,,,PNBGILTS
,BCG.NS,Brightcom Group Ltd,,,,,,BCG
,RAMCOIND.NS,RAMCO INDUSTRIES LTD.,,,,,,RAMCOIND
,RAMCOSYS.NS,RAMCO SYSTEMS LTD.,,,,,,RAMCOSYS
,TTML.NS,TATA TELESERVICES (MAHARASHTRA) LTD.,,,,,,TTML
,VIRINCHI.NS,Virinchi Ltd,,,,,,VIRINCHI
,WEPSOLN.NS,WEP SOLUTIONS LTD.,,,,,,WEPSOLN
,STLTECH.NS,STERLITE TECHNOLOGIES LTD.,,,,,,STLTECH
,TIPSINDLTD.NS,TIPS INDUSTRIES LTD.,,,,,,TIPSINDLTD
,MRO-TEK.NS,MRO-TEK Realty Ltd,,,,,,MRO-TEK
,FIRSTFIN.NS,First Fintec Ltd,,,,,,FIRSTFIN
,BABA.NS,BABA ARTS LTD.-$,,,,,,BABA
,BALAJITELE.NS,BALAJI TELEFILMS LTD.,,,,,,BALAJITELE
,TYCHE.NS,TYCHE INDUSTRIES LTD.,,,,,,TYCHE
,CALSOFT.NS,CALIFORNIA SOFTWARE CO.LTD.,,,,,,CALSOFT
,PNC.NS,PRITISH NANDY COMMUNICATIONS LTD.,,,,,,PNC
,IOB.NS,INDIAN OVERSEAS BANK,,,,,,IOB
,TAJGVK.NS,TAJGVK HOTELS & RESORTS LTD.,,,,,,TAJGVK
,CREATIVEYE.NS,CREATIVE EYE LTD.,,,,,,CREATIVEYE
,AXISCADES.NS,Axiscades Technologies Ltd,,,,,,AXISCADES
,KONNDOR.NS,Konndor Industries Ltd,,,,,,KONNDOR
,UMESLTD.NS,Usha Martin Education & Solutions Limited,,,,,,UMESLTD
,BSOFT.NS,Birlasoft Ltd,,,,,,BSOFT
,USGTECH.NS,USG TECH SOLUTIONS LTD.,,,,,,USGTECH
,7TEC.NS,SAVEN TECHNOLOGIES LTD.,,,,,,7TEC
,AVANTEL.NS,AVANTEL LTD.,,,,,,AVANTEL
,MOSCHIP.NS,Moschip Technologies Ltd,,,,,,MOSCHIP
,MEGASOFT.NS,MEGASOFT LTD.,,,,,,MEGASOFT
